BC dist.to.ref.stool	BC dist.to.ref.nasal	UW dist.to.ref.stool	UW dist.to.ref.nasal	WU dist.to.ref.stool	WU dist.to.ref.nasal
700013549	0.215286310978261	0.736963897378378	0.400211517932863	0.198988237136631	0.76115408227794	0.198988237136631
700014954	0.181465431597826	0.757433646824324	0.440612788076572	0.334327099636829	0.472970832266079	0.334327099636829
700014965	0.448484188543478	0.627452226851351	0.603305552274927	0.61957827157833	0.778703008712225	0.61957827157833
700015007	0.798537221097826	0.231667906472973	0.556048889301753	0.471461660340001	0.549452215952602	0.471461660340001
700015245	0.186984948847826	0.751588555310811	0.47944509324722	0.567574875637753	0.777716044822442	0.567574875637753
700015257	0.62640263701087	0.68465411622973	0.400211517932863	0.198988237136631	0.704928214592243	0.198988237136631
700015299	0.891923932847826	0.307166966081081	0.603305552274927	0.61957827157833	0.778703008712225	0.61957827157833
700015390	0.223494053630435	0.708475120527027	0.485513133264506	0.389143364879504	0.53450339599162	0.389143364879504
700015631	0.561857396206522	0.59760124927027	0.522336302659195	0.490363773373837	0.904172927159486	0.490363773373837
700015675	0.93233055773913	0.318633563148649	0.440612788076572	0.334327099636829	0.820028212576243	0.334327099636829
700015784	0.783531783054348	0.340609213013514	0.832305468298753	0.847664515027642	0.780578115013952	0.847664515027642
700015857	0.225779600369565	0.851763964756757	0.672058526498697	0.605873979114537	0.779801452609913	0.605873979114537
700015861	0.34900033723913	0.668891103810811	0.263293862560601	0.254284462663652	0.521270030297514	0.254284462663652
700015875	0.743792039423913	0.369582838027027	0.832305468298753	0.847664515027642	0.780578115013952	0.847664515027642
700015922	0.21656100226087	0.861640973945946	0.489503353808775	0.391745916750858	0.574320323133388	0.391745916750858
700015934	0.417087474086957	0.651581221648649	0.263293862560601	0.254284462663652	0.484890498303992	0.254284462663652
700015970	0.838985006956522	0.272522213905405	0.546147466065787	0.528010061882604	0.41781836350233	0.528010061882604
700015976	0.755484823608696	0.234250162135135	0.595314877901642	0.43767432713698	0.934674520260676	0.43767432713698
700015979	0.176577505967391	0.804705960621622	0.334069964687287	0.2070889611043	0.898338672392907	0.2070889611043
700015991	0.646049656978261	0.613028140337838	0.400211517932863	0.198988237136631	0.83236449540403	0.198988237136631
700016000	0.175751901402174	0.76170043172973	0.380464485910648	0.37795837616842	0.942180640496375	0.37795837616842
700016004	0.219422279858696	0.729900393932432	0.227137014219628	0.198897321099126	0.772203861921236	0.198897321099126
700016008	0.480658443032609	0.712128808540541	0.494534663207702	0.415460776880017	0.55308894348331	0.415460776880017
700016036	0.370989257434783	0.64509901622973	0.350406921705525	0.254354669698314	0.756171987193559	0.254354669698314
700016050	0.790479344619565	0.228118544824324	0.546079253663669	0.464614892360434	0.77774880138602	0.464614892360434
700016053	0.686297995326087	0.690918106054054	0.515203458303677	0.496440468251373	0.442971139240179	0.496440468251373
700016057	0.693955207565217	0.709460673067568	0.317727324828752	0.192565490392425	0.758807918273492	0.192565490392425
700016123	0.455696357076087	0.591180496689189	0.47944509324722	0.567574875637753	0.773431538388154	0.567574875637753
700016136	0.195734162163043	0.848497975027027	0.484132356713311	0.462632215124994	0.382152337366442	0.462632215124994
700016138	0.809653195271739	0.228384276608108	0.317727324828752	0.192565490392425	0.844598484954979	0.192565490392425
700016210	0.213896971869565	0.86741889877027	0.47735717152821	0.510121884349237	0.771645753824007	0.510121884349237
700016234	0.733177792108696	0.279175266554054	0.393211966160621	0.375462593082385	0.475967488197859	0.375462593082385
700016299	0.51804592098913	0.621376547783784	0.334069964687287	0.2070889611043	0.77616620597377	0.2070889611043
700016311	0.917557428597826	0.598028073513514	0.440612788076572	0.334327099636829	0.558819359590038	0.334327099636829
700016313	0.829361438271739	0.237070325378378	0.334069964687287	0.2070889611043	0.810647917237074	0.2070889611043
700016344	0.515165558880435	0.650167806405405	0.334069964687287	0.2070889611043	0.85486561447687	0.2070889611043
700016354	0.689514153565217	0.415675032621622	0.383656715671122	0.272656641565433	0.604448780428426	0.272656641565433
700016377	0.41381536701087	0.718880408445946	0.682710932660741	0.799320994774588	0.779903101648889	0.799320994774588
700016456	0.347018024695652	0.717499409675676	0.227137014219628	0.198897321099126	0.815370132798256	0.198897321099126
700016460	0.672101422673913	0.660541615081081	0.442687908830233	0.341366159534418	0.585114417409074	0.341366159534418
700016500	0.717449758173913	0.718558368986487	0.766969828040095	0.700010178070633	0.779781909738551	0.700010178070633
700016542	0.251559183076087	0.915911251297297	0.227137014219628	0.198897321099126	0.822761011068895	0.198897321099126
700016546	0.369905244793478	0.680946762567568	0.317727324828752	0.192565490392425	0.901430614135165	0.192565490392425
700016563	0.484793203032609	0.413859612216216	0.440612788076572	0.334327099636829	0.351345082834344	0.334327099636829
700016608	0.178221293826087	0.81441638172973	0.47735717152821	0.510121884349237	0.769681202581187	0.510121884349237
700016620	0.404529363184783	0.675023511689189	0.598189714932269	0.637716862330543	0.770435199352151	0.637716862330543
700016656	0.918029252608696	0.339648464378378	0.47944509324722	0.567574875637753	0.777716044822442	0.567574875637753
700016662	0.782365591836957	0.224213776013514	0.832305468298753	0.847664515027642	0.780578115013952	0.847664515027642
700016692	0.327601157141304	0.717644745175676	0.440612788076572	0.334327099636829	0.388676463005518	0.334327099636829
700016696	0.453958833923913	0.706480963432432	0.227137014219628	0.198897321099126	0.776514991696077	0.198897321099126
700016710	0.667828908478261	0.427220363756757	0.393211966160621	0.375462593082385	0.483903739660943	0.375462593082385
700016713	0.66308449273913	0.603219944162162	0.279611320453647	0.266545501032117	0.728756728828409	0.266545501032117
700016715	0.826848837293478	0.23856280722973	0.317727324828752	0.192565490392425	0.76616728535105	0.192565490392425
700016764	0.212739611847826	0.757796085351351	0.47944509324722	0.567574875637753	0.779146505734644	0.567574875637753
700016776	0.486666933554348	0.64528213027027	0.447228442465428	0.423628589160047	0.525715705124684	0.423628589160047
700016812	0.59147854176087	0.454712377648649	0.366183577600289	0.369023615293677	0.576897284999611	0.369023615293677
700016818	0.869692681706522	0.282777199554054	0.317727324828752	0.192565490392425	0.761992170260641	0.192565490392425
700016902	0.199592318815217	0.854298572405405	0.400211517932863	0.198988237136631	0.892749931962976	0.198988237136631
700016906	0.523855397358696	0.638739756418919	0.317727324828752	0.192565490392425	0.443480815228206	0.192565490392425
700016920	0.783285660206522	0.235179046	0.317727324828752	0.192565490392425	0.772729149642659	0.192565490392425
700016960	0.233500506141304	0.871935422810811	0.227137014219628	0.198897321099126	0.796324502394733	0.198897321099126
700016972	0.520729811206522	0.629765763391892	0.317727324828752	0.192565490392425	0.518652783707907	0.192565490392425
700021295	0.380025649543478	0.707102110905405	0.603305552274927	0.61957827157833	0.779606250249527	0.61957827157833
700021677	0.415270772782609	0.711885592297297	0.227137014219628	0.198897321099126	0.869335742285182	0.198897321099126
700021682	0.751768132978261	0.228823940851351	0.317727324828752	0.192565490392425	0.602335219306407	0.192565490392425
700021807	0.283681955173913	0.720772236297297	0.603305552274927	0.61957827157833	0.779606250249527	0.61957827157833
700021812	0.764245101706522	0.211325073081081	0.290825675800267	0.258812515748982	0.851716545765294	0.258812515748982
700021901	0.720071321434783	0.721451571554054	0.491370674923255	0.389669445714593	0.357019911835432	0.389669445714593
700021902	0.318472592978261	0.721888079608108	0.603305552274927	0.61957827157833	0.779606250249527	0.61957827157833
700023066	0.213655580163044	0.724857187013514	0.227137014219628	0.198897321099126	0.828271970732763	0.198897321099126
